TOT_POP,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
26625.0,3406.0,7218.0,26.0,10213.0,0.383556683
51266.0,6742.0,15253.0,42.0,19282.0,0.796586726
37779.0,3984.0,8058.0,18.0,14283.0,0.745206054
91984.0,14803.0,19479.0,40.0,33057.0,2.915995343
134487.0,19318.0,31227.0,26.0,49754.0,1.93740423
883305.0,394004.0,179193.0,6.0,182564.0,8.016435378
20299.0,1470.0,5131.0,13.0,7266.0,0.27980056
2801.0,372.0,732.0,46.0,850.0,0.180968789
628195.0,180201.0,151809.0,42.0,196424.0,9.761085292
4341.0,391.0,1149.0,35.0,1660.0,0.084937779
284081.0,43910.0,65218.0,17.0,93017.0,4.169438305
8758.0,636.0,1996.0,21.0,3322.0,0.205798404
1952.0,245.0,608.0,38.0,710.0,0.100158273
180454.0,33388.0,49628.0,54.0,75463.0,5.595993426
11964.0,1412.0,3281.0,19.0,3877.0,0.447302643
826.0,148.0,281.0,30.0,273.0,0.04354305
19102.0,2028.0,4691.0,18.0,6984.0,0.376794676
678701.0,157155.0,140933.0,35.0,199236.0,13.27974094
580233.0,180236.0,124374.0,8.0,139023.0,9.066834645
40571.0,4257.0,8091.0,13.0,14902.0,0.559228954
26887.0,2790.0,5815.0,13.0,9774.0,0.370609275
13033.0,1550.0,3038.0,48.0,4991.0,0.237485047
3653.0,467.0,948.0,48.0,1265.0,0.066564327
93224.0,16322.0,22787.0,54.0,40375.0,2.890935591
8732.0,969.0,1667.0,12.0,3429.0,0.088962631
23771.0,4022.0,5649.0,55.0,8012.0,0.543821454
127939.0,19522.0,33458.0,36.0,47370.0,1.086769362
131349.0,22022.0,32770.0,47.0,51164.0,2.231183558
45313.0,6262.0,12200.0,17.0,16090.0,0.665055945
4599.0,342.0,1136.0,29.0,1697.0,0.091582861
903.0,149.0,255.0,48.0,323.0,0.016454308
102663.0,12347.0,24080.0,39.0,37247.0,1.703812894
830839.0,202881.0,170081.0,25.0,257886.0,9.028046917
54811.0,13358.0,16940.0,23.0,19053.0,1.392385259
51823.0,11907.0,17655.0,24.0,19687.0,0.428805382
392680.0,90726.0,79133.0,5.0,141823.0,11.46577522
82299.0,10306.0,22345.0,48.0,35206.0,1.499637985
44413.0,5317.0,8744.0,39.0,16500.0,0.737085825
6941.0,720.0,2156.0,51.0,3007.0,0.078229707
6196.0,925.0,1772.0,20.0,2481.0,0.295807151
14134.0,1862.0,3779.0,19.0,4975.0,0.528433263
2139.0,305.0,708.0,48.0,887.0,0.038976484
9017.0,842.0,3114.0,29.0,4253.0,0.179561351
9475.0,1053.0,2291.0,32.0,3901.0,0.137391609
550210.0,150759.0,102817.0,27.0,154874.0,12.45311725
295032.0,59163.0,59280.0,45.0,93304.0,4.004071495
2171603.0,270028.0,330448.0,6.0,725284.0,19.70838512
1485941.0,376461.0,414928.0,12.0,494930.0,15.13893971
163129.0,23850.0,34912.0,55.0,55000.0,3.73198645
3532.0,496.0,1046.0,31.0,1287.0,0.170259394
1249.0,238.0,338.0,46.0,395.0,0.080696186
65263.0,7916.0,18721.0,42.0,25573.0,1.014076377
11931.0,898.0,2963.0,28.0,5180.0,0.39549879
356495.0,56151.0,107419.0,12.0,133006.0,3.632012517
23081.0,9847.0,4298.0,56.0,4576.0,1.158570422
292735.0,67150.0,51447.0,26.0,83104.0,4.217106688
17787.0,2269.0,5135.0,54.0,7388.0,0.551586194
194160.0,33352.0,34483.0,13.0,69475.0,2.676293256
32412.0,4376.0,9713.0,51.0,12877.0,0.365304892
55286.0,15147.0,16500.0,50.0,16558.0,1.235837835
18634.0,1957.0,3658.0,13.0,6590.0,0.256850271
4506.0,366.0,1391.0,35.0,1882.0,0.088166236
435594.0,67157.0,76257.0,6.0,119010.0,3.953233767
21485.0,1792.0,3264.0,48.0,7114.0,0.391495913
35567.0,3173.0,7957.0,18.0,14147.0,0.70157346
104712.0,16485.0,27263.0,17.0,38323.0,1.536851193
274255.0,71610.0,57232.0,6.0,62929.0,2.489001517
1380645.0,297568.0,206342.0,12.0,435453.0,14.06617182
85129.0,14417.0,18308.0,55.0,27512.0,1.947540134
56310.0,17223.0,12490.0,8.0,14847.0,0.879911103
179146.0,41020.0,40244.0,39.0,54548.0,2.973137982
9911.0,1051.0,2872.0,28.0,4017.0,0.328538136
21940.0,2350.0,5833.0,22.0,8901.0,0.743891924
3641.0,442.0,1037.0,29.0,1342.0,0.072505587
919719.0,216636.0,216391.0,36.0,302227.0,7.812492129
67420.0,9461.0,14752.0,13.0,22389.0,0.929314438
192876.0,39068.0,32585.0,46.0,54357.0,12.46145528
110356.0,16317.0,19472.0,21.0,43454.0,2.593182082
103066.0,16120.0,24000.0,55.0,30823.0,2.357894154
78374.0,13612.0,22702.0,45.0,31148.0,1.063664617
31192.0,4003.0,7493.0,28.0,14068.0,1.033978564
18128.0,1103.0,2585.0,48.0,5867.0,0.330325246
10949.0,1281.0,2703.0,40.0,4521.0,0.347095506
114277.0,14219.0,27115.0,1.0,48041.0,2.361350576
